INTRA_MIA_ABUTT_WEIGHT,MIA_WEIGHT,FIXED_HARD_FILLER_WEIGHT,ABS_DISPLACEMENT_WEIGHT,INTRA_CELL_RIPUP_TIMES,INTRA_CELL_RIPUP_FREQ,score
10.0,2.9,9.0,7.0,1,100,13.2097
10.0,2.9,9.5,5.0,1,100,15.4256
10.0,2.9,9.5,6.0,1,100,13.7951
10.0,2.9,9.5,7.0,1,100,13.0827
10.0,3.0,8.5,5.0,1,100,15.196
10.0,3.0,8.5,6.0,1,100,13.7702
10.0,3.0,8.5,7.0,1,100,13.1267
10.0,3.0,9.0,5.0,1,100,15.1054
10.0,3.0,9.0,6.0,1,100,13.9089
10.0,3.0,9.0,7.0,1,100,12.9505
10.0,3.0,9.5,5.0,1,100,15.3791
10.0,3.0,9.5,6.0,1,100,13.9455
10.0,3.0,9.5,7.0,1,100,12.9781
10.0,3.1,8.5,5.0,1,100,15.2058
10.0,3.1,8.5,6.0,1,100,14.0814
10.0,3.1,8.5,7.0,1,100,13.1039
10.0,3.1,9.0,5.0,1,100,15.3804
10.0,3.1,9.0,6.0,1,100,14.1947
10.0,3.1,9.0,7.0,1,100,13.1544
10.0,3.1,9.5,5.0,1,100,15.4236
10.0,3.1,9.5,6.0,1,100,14.2029
10.0,3.1,9.5,7.0,1,100,13.1668
10.0,3.2,8.5,5.0,1,100,15.6049
10.0,3.2,8.5,6.0,1,100,14.071
10.0,3.2,8.5,7.0,1,100,13.1156
10.0,3.2,9.0,5.0,1,100,15.4789
10.0,3.2,9.0,6.0,1,100,13.9926
10.0,3.2,9.0,7.0,1,100,13.2612
10.0,3.2,9.5,5.0,1,100,15.3768
10.0,3.2,9.5,6.0,1,100,14.2048
10.0,3.2,9.5,7.0,1,100,13.0809
10.5,2.8,8.5,5.0,1,100,15.3537
10.5,2.8,8.5,6.0,1,100,13.8794
10.5,2.8,8.5,7.0,1,100,12.9574
10.5,2.8,9.0,5.0,1,100,15.3927
10.5,2.8,9.0,6.0,1,100,13.8155
10.5,2.8,9.0,7.0,1,100,13.1264
10.5,2.8,9.5,5.0,1,100,15.1441
10.5,2.8,9.5,6.0,1,100,14.0637
10.5,2.8,9.5,7.0,1,100,12.9477
10.5,2.9,8.5,5.0,1,100,15.2361
10.5,2.9,8.5,6.0,1,100,13.9857
10.5,2.9,8.5,7.0,1,100,13.1386
10.5,2.9,9.0,5.0,1,100,15.3507
10.5,2.9,9.0,6.0,1,100,14.2062
10.5,2.9,9.0,7.0,1,100,13.3313
10.5,2.9,9.5,5.0,1,100,15.1697
10.5,2.9,9.5,6.0,1,100,14.1325
10.5,2.9,9.5,7.0,1,100,13.2067
10.5,3.0,8.5,5.0,1,100,15.4224
10.5,3.0,8.5,6.0,1,100,14.1546
10.5,3.0,8.5,7.0,1,100,13.1871
10.5,3.0,9.0,5.0,1,100,15.2897
10.5,3.0,9.0,6.0,1,100,14.1243
10.5,3.0,9.0,7.0,1,100,13.0825
10.5,3.0,9.5,5.0,1,100,15.5833
10.5,3.0,9.5,6.0,1,100,14.1497
10.5,3.0,9.5,7.0,1,100,12.9863
10.5,3.1,8.5,5.0,1,100,15.5859
10.5,3.1,8.5,6.0,1,100,14.0432
10.5,3.1,8.5,7.0,1,100,13.2686
10.5,3.1,9.0,5.0,1,100,15.6598
10.5,3.1,9.0,6.0,1,100,14.114
10.5,3.1,9.0,7.0,1,100,13.2444
10.5,3.1,9.5,5.0,1,100,15.5342
10.5,3.1,9.5,6.0,1,100,14.1324
10.5,3.1,9.5,7.0,1,100,13.3941
10.5,3.2,8.5,5.0,1,100,15.5985
10.5,3.2,8.5,6.0,1,100,14.2524
10.5,3.2,8.5,7.0,1,100,13.266
10.5,3.2,9.0,5.0,1,100,15.5434
10.5,3.2,9.0,6.0,1,100,14.3375
10.5,3.2,9.0,7.0,1,100,13.2797
10.5,3.2,9.5,5.0,1,100,15.6759
10.5,3.2,9.5,6.0,1,100,14.3101
10.5,3.2,9.5,7.0,1,100,12.9963
10.0,1.0,5.6,9.0,0,50,10.9259
10.0,1.0,5.6,9.0,0,100,10.9259
10.0,1.0,5.6,9.0,0,200,10.9259
10.0,1.0,5.6,9.0,1,50,11.0892
10.0,1.0,5.6,9.0,1,100,10.9524
10.0,1.0,5.6,9.0,1,200,10.8719
10.0,1.0,5.6,9.0,2,50,11.02
10.0,1.0,5.6,9.0,2,100,11.0285
10.0,1.0,5.6,9.0,2,200,11.2236
10.0,1.0,5.6,9.0,3,50,10.9912
10.0,1.0,5.6,9.0,3,100,11.2033
10.0,1.0,5.6,9.0,3,200,10.9024
